symbol,price,change,low,high,ema20,ema50,ema100,ema200,score
GPIL,244.1,-0.1,242.6,247.6,255.7,266.49,269.11,260.59,0.0
AFFLE,1518.3,-0.93,1498.0,1526.2,1489.03,1475.62,1495.0,1575.76,0.0
GLAXO,2483.1,1.15,2445.4,2500.0,2415.59,2372.7,2392.02,2490.89,0.0
HEROMOTOCO,4977.7,1.38,4900.0,4985.0,4916.44,4968.96,5090.07,5153.29,0.0
ATUL,6091.5,-0.94,6080.0,6218.0,6321.37,6484.3,6499.62,6467.03,0.0
DEEPAKNTR,1689.7,-1.07,1683.0,1715.0,1653.37,1650.81,1644.9,1669.62,0.0
BRIGADE,563.8,-0.5,553.1,567.8,540.86,532.92,545.55,590.37,0.0
LTM,4083.9,0.2,4066.0,4148.0,3942.05,4010.7,4276.0,4644.22,0.0
BAJAJHFL,86.03,-0.36,85.64,86.25,87.2,86.66,87.65,92.8,0.0
ABREL,1441.8,-0.47,1419.2,1456.5,1394.57,1354.11,1366.9,1475.28,0.0
PAGEIND,40325.0,1.07,39700.0,40380.0,40508.77,39428.59,38257.46,38550.21,0.0
TIINDIA,2886.9,-0.06,2842.2,2905.2,2983.42,2995.9,2927.52,2879.62,0.0
IEX,125.7,2.36,120.91,125.98,122.14,123.38,125.77,133.79,0.0
CGPOWER,912.45,0.82,895.05,915.0,920.91,898.15,846.25,788.68,0.0
BATAINDIA,700.5,1.02,692.7,717.5,690.83,697.78,733.52,826.83,0.0
ULTRACEMCO,11903.0,1.5,11652.0,12001.0,11588.59,11526.14,11612.84,11805.48,0.0
POWERGRID,288.7,1.82,283.35,289.55,285.37,289.51,291.2,290.34,0.0
ENRIN,3394.3,0.26,3286.8,3424.7,3479.5,3448.88,3303.63,3175.43,0.0
CANBK,128.82,3.05,125.06,129.6,127.5,130.11,133.17,133.17,0.0
ABFRL,57.28,-0.99,56.94,58.3,59.53,60.84,63.01,66.81,0.0
PARADEEP,138.23,-1.45,137.8,141.0,138.96,134.21,133.33,141.66,0.0
IDBI,85.03,-2.29,84.8,87.61,83.86,81.5,82.91,87.02,0.0
CARTRADE,2755.4,2.07,2697.1,2798.9,2695.18,2435.06,2283.49,2245.84,0.0
MCX,2818.0,2.57,2739.3,2845.0,2824.01,2851.96,2760.64,2517.29,0.0
MGL,1090.9,-0.86,1085.1,1100.4,1124.73,1121.38,1119.17,1160.84,0.0
ITCHOTELS,167.05,-3.11,165.54,171.9,175.73,169.74,170.2,182.48,0.0
MAZDOCK,2346.5,0.16,2323.0,2355.0,2426.52,2456.43,2474.53,2538.08,0.0
JUBLPHARMA,1023.85,0.12,1010.05,1029.0,989.01,974.88,969.82,999.51,0.0
BHARTIHEXA,1617.2,0.73,1575.0,1632.0,1552.67,1529.67,1550.67,1608.79,0.0
ICICIGI,1621.6,0.58,1604.1,1626.9,1748.12,1775.46,1802.92,1842.61,0.0
HAVELLS,1200.3,1.09,1165.6,1209.7,1185.23,1196.84,1237.74,1309.26,0.0
TATACOMM,1822.6,0.3,1815.0,1862.6,1882.24,1853.88,1786.55,1746.71,0.0
BLUEDART,4883.0,-0.88,4870.0,4943.8,4899.31,4947.0,5087.73,5364.67,0.0
BIKAJI,641.95,0.56,635.05,647.6,645.8,651.01,657.65,676.12,0.0
SUNTV,489.9,-1.78,488.0,499.55,504.33,519.99,538.25,553.53,0.0
ZENTEC,1749.8,-1.12,1730.0,1784.0,1802.58,1750.03,1661.19,1605.61,0.0
ESCORTS,2981.4,1.51,2916.0,3037.0,2932.16,2952.42,3062.75,3218.78,0.0
HEXT,555.65,-2.55,547.9,574.3,541.85,523.42,532.2,586.21,0.0
JSWDULUX,3003.5,-1.01,2982.9,3046.2,3068.3,3076.98,3070.96,3143.9,0.0
BALKRISIND,2055.2,-0.49,2047.1,2081.1,2166.8,2186.31,2224.32,2305.99,0.0
GALLANTT,620.15,-4.84,619.15,642.5,675.82,687.23,677.23,656.88,0.0
TCS,2251.1,-0.79,2245.1,2283.4,2155.51,2213.45,2365.87,2590.24,0.0
ZFCVINDIA,2338.6,-2.97,2324.9,2410.0,2407.51,2437.45,2429.39,2390.98,0.0
